valid_time,t2m,latitude,longitude
2020-01-05 07:00:00,270.29303,41.75,-87.75
2020-01-05 08:00:00,269.8836,41.75,-87.75
2020-01-05 09:00:00,269.54965,41.75,-87.75
2020-01-05 10:00:00,269.75244,41.75,-87.75
2020-01-05 11:00:00,269.82977,41.75,-87.75
2020-01-05 12:00:00,270.05475,41.75,-87.75
2020-01-05 13:00:00,270.2556,41.75,-87.75
2020-01-05 14:00:00,270.83386,41.75,-87.75
2020-01-05 15:00:00,272.28516,41.75,-87.75
2020-01-05 16:00:00,273.4461,41.75,-87.75
2020-01-05 17:00:00,274.58875,41.75,-87.75
2020-01-05 18:00:00,275.9845,41.75,-87.75
2020-01-05 19:00:00,277.13547,41.75,-87.75
2020-01-05 20:00:00,277.64993,41.75,-87.75
2020-01-05 21:00:00,278.42212,41.75,-87.75
2020-01-05 22:00:00,278.6689,41.75,-87.75
2020-01-05 23:00:00,278.2619,41.75,-87.75
2020-01-06 00:00:00,277.63495,41.75,-87.75
2020-01-06 01:00:00,276.9895,41.75,-87.75
2020-01-06 02:00:00,276.1183,41.75,-87.75
2020-01-06 03:00:00,275.11243,41.75,-87.75
2020-01-06 04:00:00,274.98315,41.75,-87.75
2020-01-06 05:00:00,274.6919,41.75,-87.75
2020-01-06 06:00:00,274.09253,41.75,-87.75
2020-01-06 07:00:00,273.60065,41.75,-87.75
2020-01-06 08:00:00,273.09253,41.75,-87.75
2020-01-06 09:00:00,272.25134,41.75,-87.75
2020-01-06 10:00:00,271.2404,41.75,-87.75
2020-01-06 11:00:00,271.1037,41.75,-87.75
2020-01-06 12:00:00,271.1197,41.75,-87.75
2020-01-06 13:00:00,270.86737,41.75,-87.75
2020-01-06 14:00:00,270.86304,41.75,-87.75
2020-01-06 15:00:00,272.49353,41.75,-87.75
2020-01-06 16:00:00,273.5543,41.75,-87.75
2020-01-06 17:00:00,274.98816,41.75,-87.75
2020-01-06 18:00:00,276.37204,41.75,-87.75
2020-01-06 19:00:00,277.08694,41.75,-87.75
2020-01-06 20:00:00,277.6826,41.75,-87.75
2020-01-06 21:00:00,277.68756,41.75,-87.75
2020-01-06 22:00:00,276.5216,41.75,-87.75
2020-01-06 23:00:00,276.12222,41.75,-87.75
2020-01-07 00:00:00,275.67365,41.75,-87.75
2020-01-07 01:00:00,275.07217,41.75,-87.75
2020-01-07 02:00:00,274.76465,41.75,-87.75
2020-01-07 03:00:00,274.14243,41.75,-87.75
2020-01-07 04:00:00,273.75464,41.75,-87.75
2020-01-07 05:00:00,273.27234,41.75,-87.75
2020-01-07 06:00:00,272.9865,41.75,-87.75
2020-01-07 07:00:00,272.6498,41.75,-87.75
2020-01-07 08:00:00,272.36792,41.75,-87.75
2020-01-07 09:00:00,271.9023,41.75,-87.75
2020-01-07 10:00:00,271.21237,41.75,-87.75
2020-01-07 11:00:00,271.34692,41.75,-87.75
2020-01-07 12:00:00,271.63016,41.75,-87.75
2020-01-07 13:00:00,271.66602,41.75,-87.75
2020-01-07 14:00:00,272.1416,41.75,-87.75
2020-01-07 15:00:00,273.78052,41.75,-87.75
2020-01-07 16:00:00,275.00482,41.75,-87.75
2020-01-07 17:00:00,276.35114,41.75,-87.75
2020-01-07 18:00:00,277.10287,41.75,-87.75
2020-01-07 19:00:00,277.43073,41.75,-87.75
2020-01-07 20:00:00,277.62634,41.75,-87.75
2020-01-07 21:00:00,277.46817,41.75,-87.75
2020-01-07 22:00:00,276.77576,41.75,-87.75
2020-01-07 23:00:00,276.33606,41.75,-87.75
2020-01-08 00:00:00,275.79556,41.75,-87.75
2020-01-08 01:00:00,275.30893,41.75,-87.75
2020-01-08 02:00:00,274.91785,41.75,-87.75
2020-01-08 03:00:00,273.87622,41.75,-87.75
2020-01-08 04:00:00,273.34637,41.75,-87.75
2020-01-08 05:00:00,273.00336,41.75,-87.75
2020-01-08 06:00:00,272.36584,41.75,-87.75
2020-01-08 07:00:00,272.02072,41.75,-87.75
2020-01-08 08:00:00,271.4237,41.75,-87.75
2020-01-08 09:00:00,269.98004,41.75,-87.75
2020-01-08 10:00:00,267.80334,41.75,-87.75
2020-01-08 11:00:00,267.2876,41.75,-87.75
2020-01-08 12:00:00,266.72845,41.75,-87.75
2020-01-08 13:00:00,265.9879,41.75,-87.75
2020-01-08 14:00:00,265.63235,41.75,-87.75
2020-01-08 15:00:00,266.00946,41.75,-87.75
2020-01-08 16:00:00,266.23007,41.75,-87.75
2020-01-08 17:00:00,266.6493,41.75,-87.75
2020-01-08 18:00:00,267.05426,41.75,-87.75
2020-01-08 19:00:00,267.32068,41.75,-87.75
2020-01-08 20:00:00,267.5437,41.75,-87.75
2020-01-08 21:00:00,267.71362,41.75,-87.75
2020-01-08 22:00:00,267.23843,41.75,-87.75
2020-01-08 23:00:00,267.2714,41.75,-87.75
2020-01-09 00:00:00,267.3078,41.75,-87.75
2020-01-09 01:00:00,267.6134,41.75,-87.75
2020-01-09 02:00:00,267.9962,41.75,-87.75
2020-01-09 03:00:00,268.35706,41.75,-87.75
2020-01-09 04:00:00,268.51923,41.75,-87.75
2020-01-09 05:00:00,268.47607,41.75,-87.75
2020-01-09 06:00:00,268.45935,41.75,-87.75
2020-01-09 07:00:00,268.84424,41.75,-87.75
2020-01-09 08:00:00,269.49194,41.75,-87.75
2020-01-09 09:00:00,270.4262,41.75,-87.75
2020-01-09 10:00:00,271.49084,41.75,-87.75
2020-01-09 11:00:00,272.05823,41.75,-87.75
2020-01-09 12:00:00,272.71674,41.75,-87.75
2020-01-09 13:00:00,273.72485,41.75,-87.75
2020-01-09 14:00:00,274.72308,41.75,-87.75
2020-01-09 15:00:00,276.94507,41.75,-87.75
2020-01-09 16:00:00,277.79883,41.75,-87.75
2020-01-09 17:00:00,279.07117,41.75,-87.75
2020-01-09 18:00:00,280.2284,41.75,-87.75
2020-01-09 19:00:00,280.93256,41.75,-87.75
2020-01-09 20:00:00,281.48138,41.75,-87.75
2020-01-09 21:00:00,282.1006,41.75,-87.75
2020-01-09 22:00:00,282.3651,41.75,-87.75
2020-01-09 23:00:00,282.12497,41.75,-87.75
2020-01-10 00:00:00,282.2329,41.75,-87.75
2020-01-10 01:00:00,282.4699,41.75,-87.75
2020-01-10 02:00:00,282.3109,41.75,-87.75
2020-01-10 03:00:00,282.10715,41.75,-87.75
2020-01-10 04:00:00,282.2473,41.75,-87.75
2020-01-10 05:00:00,282.47034,41.75,-87.75
2020-01-10 06:00:00,282.563,41.75,-87.75
2020-01-10 07:00:00,282.73816,41.75,-87.75
2020-01-10 08:00:00,283.0285,41.75,-87.75
2020-01-10 09:00:00,282.25793,41.75,-87.75
2020-01-10 10:00:00,281.5302,41.75,-87.75
2020-01-10 11:00:00,281.53284,41.75,-87.75
2020-01-10 12:00:00,281.60336,41.75,-87.75
2020-01-10 13:00:00,281.72586,41.75,-87.75
2020-01-10 14:00:00,281.68738,41.75,-87.75
2020-01-10 15:00:00,281.56656,41.75,-87.75
2020-01-10 16:00:00,281.56055,41.75,-87.75
2020-01-10 17:00:00,280.05878,41.75,-87.75
2020-01-10 18:00:00,278.64575,41.75,-87.75
2020-01-10 19:00:00,277.36578,41.75,-87.75
2020-01-10 20:00:00,276.9626,41.75,-87.75
2020-01-10 21:00:00,276.65363,41.75,-87.75
2020-01-10 22:00:00,276.925,41.75,-87.75
2020-01-10 23:00:00,276.69617,41.75,-87.75
2020-01-11 00:00:00,276.70813,41.75,-87.75
2020-01-11 01:00:00,276.72012,41.75,-87.75
2020-01-11 02:00:00,276.61682,41.75,-87.75
2020-01-11 03:00:00,276.22604,41.75,-87.75
2020-01-11 04:00:00,276.2349,41.75,-87.75
2020-01-11 05:00:00,276.2781,41.75,-87.75
2020-01-11 06:00:00,275.9804,41.75,-87.75
2020-01-11 07:00:00,275.41278,41.75,-87.75
2020-01-11 08:00:00,276.04062,41.75,-87.75
2020-01-11 09:00:00,276.16568,41.75,-87.75
2020-01-11 10:00:00,275.3639,41.75,-87.75
2020-01-11 11:00:00,275.206,41.75,-87.75
2020-01-11 12:00:00,274.63815,41.75,-87.75
2020-01-11 13:00:00,274.3356,41.75,-87.75
2020-01-11 14:00:00,274.57324,41.75,-87.75
2020-01-11 15:00:00,274.37732,41.75,-87.75
2020-01-11 16:00:00,274.43967,41.75,-87.75
2020-01-11 17:00:00,274.46118,41.75,-87.75
2020-01-11 18:00:00,274.25864,41.75,-87.75
2020-01-11 19:00:00,274.19623,41.75,-87.75
2020-01-11 20:00:00,273.6749,41.75,-87.75
2020-01-11 21:00:00,273.32095,41.75,-87.75
2020-01-11 22:00:00,273.2539,41.75,-87.75
2020-01-11 23:00:00,273.15094,41.75,-87.75
2020-01-12 00:00:00,272.74524,41.75,-87.75
2020-01-12 01:00:00,272.6197,41.75,-87.75
2020-01-12 02:00:00,272.51416,41.75,-87.75
2020-01-12 03:00:00,272.29913,41.75,-87.75
2020-01-12 04:00:00,272.30234,41.75,-87.75
2020-01-12 05:00:00,272.0442,41.75,-87.75
2020-01-12 06:00:00,271.82483,41.75,-87.75
2020-01-12 07:00:00,271.55768,41.75,-87.75
2020-01-12 08:00:00,271.29718,41.75,-87.75
2020-01-12 09:00:00,271.2432,41.75,-87.75
2020-01-12 10:00:00,270.7425,41.75,-87.75
2020-01-12 11:00:00,270.44968,41.75,-87.75
2020-01-12 12:00:00,270.06555,41.75,-87.75
2020-01-12 13:00:00,269.33926,41.75,-87.75
2020-01-12 14:00:00,269.4358,41.75,-87.75
2020-01-12 15:00:00,270.51288,41.75,-87.75
2020-01-12 16:00:00,270.87,41.75,-87.75
2020-01-12 17:00:00,271.27426,41.75,-87.75
2020-01-12 18:00:00,271.72095,41.75,-87.75
2020-01-12 19:00:00,271.9734,41.75,-87.75
2020-01-12 20:00:00,272.63235,41.75,-87.75
2020-01-12 21:00:00,272.79495,41.75,-87.75
2020-01-12 22:00:00,272.86633,41.75,-87.75
2020-01-12 23:00:00,272.8211,41.75,-87.75
2020-01-13 00:00:00,272.79364,41.75,-87.75
2020-01-13 01:00:00,272.8786,41.75,-87.75
2020-01-13 02:00:00,272.99844,41.75,-87.75
2020-01-13 03:00:00,273.018,41.75,-87.75
2020-01-13 04:00:00,273.13348,41.75,-87.75
2020-01-13 05:00:00,273.29175,41.75,-87.75
2020-01-13 06:00:00,273.39224,41.75,-87.75
2020-01-13 07:00:00,273.6095,41.75,-87.75
2020-01-13 08:00:00,273.48087,41.75,-87.75
2020-01-13 09:00:00,273.51288,41.75,-87.75
2020-01-13 10:00:00,273.5138,41.75,-87.75
2020-01-13 11:00:00,273.5647,41.75,-87.75
2020-01-13 12:00:00,273.48236,41.75,-87.75
2020-01-13 13:00:00,273.30518,41.75,-87.75
2020-01-13 14:00:00,273.14172,41.75,-87.75
2020-01-13 15:00:00,273.1397,41.75,-87.75
2020-01-13 16:00:00,273.62344,41.75,-87.75
2020-01-13 17:00:00,273.64163,41.75,-87.75
2020-01-13 18:00:00,273.786,41.75,-87.75
2020-01-13 19:00:00,273.80957,41.75,-87.75
2020-01-13 20:00:00,273.79666,41.75,-87.75
2020-01-13 21:00:00,273.91522,41.75,-87.75
2020-01-13 22:00:00,273.93912,41.75,-87.75
2020-01-13 23:00:00,273.25433,41.75,-87.75
2020-01-14 00:00:00,273.63354,41.75,-87.75
2020-01-14 01:00:00,273.93103,41.75,-87.75
2020-01-14 02:00:00,273.89987,41.75,-87.75
2020-01-14 03:00:00,273.69418,41.75,-87.75
2020-01-14 04:00:00,273.64105,41.75,-87.75
2020-01-14 05:00:00,273.7789,41.75,-87.75
2020-01-14 06:00:00,274.11703,41.75,-87.75
2020-01-14 07:00:00,274.29016,41.75,-87.75
2020-01-14 08:00:00,274.3117,41.75,-87.75
2020-01-14 09:00:00,273.67578,41.75,-87.75
2020-01-14 10:00:00,273.76147,41.75,-87.75
2020-01-14 11:00:00,274.06543,41.75,-87.75
2020-01-14 12:00:00,274.54663,41.75,-87.75
2020-01-14 13:00:00,274.58405,41.75,-87.75
2020-01-14 14:00:00,274.8035,41.75,-87.75
2020-01-14 15:00:00,275.33383,41.75,-87.75
2020-01-14 16:00:00,275.90912,41.75,-87.75
2020-01-14 17:00:00,276.35364,41.75,-87.75
2020-01-14 18:00:00,276.89288,41.75,-87.75
2020-01-14 19:00:00,277.35162,41.75,-87.75
2020-01-14 20:00:00,278.01788,41.75,-87.75
2020-01-14 21:00:00,278.23566,41.75,-87.75
2020-01-14 22:00:00,276.97827,41.75,-87.75
2020-01-14 23:00:00,276.35483,41.75,-87.75
2020-01-15 00:00:00,275.68835,41.75,-87.75
2020-01-15 01:00:00,274.83636,41.75,-87.75
2020-01-15 02:00:00,273.865,41.75,-87.75
2020-01-15 03:00:00,272.33197,41.75,-87.75
2020-01-15 04:00:00,272.0827,41.75,-87.75
2020-01-15 05:00:00,272.02985,41.75,-87.75
2020-01-15 06:00:00,271.86017,41.75,-87.75
2020-01-15 07:00:00,271.4901,41.75,-87.75
2020-01-15 08:00:00,272.26727,41.75,-87.75
2020-01-15 09:00:00,272.63635,41.75,-87.75
2020-01-15 10:00:00,272.15567,41.75,-87.75
2020-01-15 11:00:00,272.5788,41.75,-87.75
2020-01-15 12:00:00,272.8078,41.75,-87.75
2020-01-15 13:00:00,272.81705,41.75,-87.75
2020-01-15 14:00:00,273.03192,41.75,-87.75
2020-01-15 15:00:00,273.58252,41.75,-87.75
2020-01-15 16:00:00,273.62567,41.75,-87.75
2020-01-15 17:00:00,273.91388,41.75,-87.75
2020-01-15 18:00:00,274.36688,41.75,-87.75
2020-01-15 19:00:00,274.51553,41.75,-87.75
2020-01-15 20:00:00,274.7755,41.75,-87.75
2020-01-15 21:00:00,274.80386,41.75,-87.75
2020-01-15 22:00:00,274.79675,41.75,-87.75
2020-01-15 23:00:00,274.89398,41.75,-87.75
2020-01-16 00:00:00,274.9848,41.75,-87.75
2020-01-16 01:00:00,274.99017,41.75,-87.75
2020-01-16 02:00:00,274.73218,41.75,-87.75
2020-01-16 03:00:00,273.99292,41.75,-87.75
2020-01-16 04:00:00,273.43317,41.75,-87.75
2020-01-16 05:00:00,272.95123,41.75,-87.75
2020-01-16 06:00:00,272.38702,41.75,-87.75
2020-01-16 07:00:00,271.85202,41.75,-87.75
2020-01-16 08:00:00,271.127,41.75,-87.75
2020-01-16 09:00:00,270.203,41.75,-87.75
2020-01-16 10:00:00,268.69598,41.75,-87.75
2020-01-16 11:00:00,268.24115,41.75,-87.75
2020-01-16 12:00:00,267.58545,41.75,-87.75
2020-01-16 13:00:00,266.8042,41.75,-87.75
2020-01-16 14:00:00,266.25732,41.75,-87.75
2020-01-16 15:00:00,266.26584,41.75,-87.75
2020-01-16 16:00:00,266.68103,41.75,-87.75
2020-01-16 17:00:00,267.34906,41.75,-87.75
2020-01-16 18:00:00,267.9567,41.75,-87.75
2020-01-16 19:00:00,268.3603,41.75,-87.75
2020-01-16 20:00:00,268.5517,41.75,-87.75
2020-01-16 21:00:00,268.8454,41.75,-87.75
2020-01-16 22:00:00,268.13455,41.75,-87.75
2020-01-16 23:00:00,267.57727,41.75,-87.75
2020-01-17 00:00:00,267.23462,41.75,-87.75
2020-01-17 01:00:00,266.78235,41.75,-87.75
2020-01-17 02:00:00,266.5141,41.75,-87.75
2020-01-17 03:00:00,266.09848,41.75,-87.75
2020-01-17 04:00:00,266.05807,41.75,-87.75
2020-01-17 05:00:00,266.07983,41.75,-87.75
2020-01-17 06:00:00,266.27628,41.75,-87.75
2020-01-17 07:00:00,266.63803,41.75,-87.75
2020-01-17 08:00:00,266.77606,41.75,-87.75
2020-01-17 09:00:00,266.78088,41.75,-87.75
2020-01-17 10:00:00,267.1396,41.75,-87.75
2020-01-17 11:00:00,267.4505,41.75,-87.75
2020-01-17 12:00:00,267.6978,41.75,-87.75
2020-01-17 13:00:00,267.61804,41.75,-87.75
2020-01-17 14:00:00,267.52563,41.75,-87.75
2020-01-17 15:00:00,268.5066,41.75,-87.75
2020-01-17 16:00:00,269.10938,41.75,-87.75
2020-01-17 17:00:00,269.81354,41.75,-87.75
2020-01-17 18:00:00,270.37955,41.75,-87.75
2020-01-17 19:00:00,270.6123,41.75,-87.75
2020-01-17 20:00:00,271.02374,41.75,-87.75
2020-01-17 21:00:00,271.3421,41.75,-87.75
