year,month,day,rmm1,rmm2,phase,amplitude,source,date
2020,2,15,1.1775806,1.4567704,6,1.8731995,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-02-15
2020,2,16,1.3361071,1.3355688,5,1.8891603,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-02-16
2020,2,17,1.5269868,1.1277609,5,1.8982975,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-02-17
2020,2,18,1.3660785,1.2318423,5,1.8394581,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-02-18
2020,2,19,1.1077207,1.2570662,6,1.6754882,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-02-19
2020,2,20,0.39533356,1.1059489,6,1.1744835,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-02-20
2020,2,21,-0.37064442,0.80248326,7,0.88394386,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-02-21
2020,2,22,-0.56011736,0.87469959,7,1.0386678,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-02-22
2020,2,23,-0.81345534,0.85580647,7,1.1807262,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-02-23
2020,2,24,-0.94363195,0.51290113,8,1.0740153,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-02-24
2020,2,25,-0.81581414,0.39111,8,0.90472084,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-02-25
2020,2,26,-0.5853343,0.0770150721,8,0.59037918,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-02-26
2020,2,27,-0.11728658,-0.0962467343,1,0.15172203,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-02-27
2020,2,28,0.21511343,-0.22399946,3,0.31056327,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-02-28
2020,2,29,0.5808056,-0.56461334,4,0.81001443,Gottschalk10_method:_OLR_&_ACCESS_wind,2020-02-29
